player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Duane Brown,4340,T,HST,3,0,13,70.3,100.0,21,20.6,21,54.4,1,100.0,102,102,53.3,100.0,72,70.6,72
Clint Boling,6253,G,CIN,3,0,7,61.4,100.0,36,35.3,36,60.5,1,100.0,102,102,65.4,100.0,55,53.9,55
Russell Bodine,8746,C,CIN,3,0,7,72.9,100.0,36,35.3,36,63.0,0,100.0,102,102,50.3,100.0,55,53.9,55
Chris Myers,2417,C,HST,3,2,13,59.8,100.0,21,20.6,21,64.3,2,100.0,102,102,66.3,100.0,72,70.6,72
Derek Newton,6366,T,HST,3,0,13,69.6,100.0,21,20.6,21,84.5,0,100.0,102,102,86.1,100.0,72,70.6,72
Brandon Brooks,7078,G,HST,3,0,13,78.8,100.0,21,20.6,21,68.9,1,100.0,102,102,65.1,100.0,72,70.6,72
Ben Jones,7099,G,HST,3,0,13,83.5,100.0,21,21.0,21,64.9,0,100.0,100,100,57.1,100.0,70,70.0,70
Andre Smith,4929,T,CIN,3,0,7,62.7,100.0,35,35.4,35,66.4,0,100.0,99,99,64.4,100.0,54,54.5,54
Tyron Smith,6161,T,DAL,3,0,9,82.6,100.0,35,36.1,35,74.1,0,100.0,97,97,67.9,100.0,57,58.8,57
Travis Frederick,7812,C,DAL,3,0,9,67.2,100.0,35,36.1,35,58.2,1,100.0,97,97,54.2,100.0,57,58.8,57
Doug Free,3738,T,DAL,3,0,9,80.8,100.0,35,36.1,35,74.0,0,100.0,97,97,65.7,100.0,57,58.8,57
Jason Witten,1384,TE,DAL,3,0,9,85.7,100.0,35,36.1,35,78.9,1,100.0,97,97,68.7,100.0,57,58.8,57
Ron Leary,7338,G,DAL,3,0,9,61.3,100.0,35,36.1,35,65.6,0,100.0,97,97,69.9,100.0,57,58.8,57
Zack Martin,8651,G,DAL,3,0,9,47.9,100.0,35,36.1,35,55.4,0,100.0,97,97,62.1,100.0,57,58.8,57
Tony Romo,1693,QB,DAL,3,0,9,60.0,100.0,35,36.8,35,60.0,0,97.9,95,97,60.0,100.0,57,60.0,57
DeAndre Hopkins,7808,WR,HST,3,0,13,52.1,100.0,21,22.3,21,48.7,0,100.0,94,94,61.5,100.0,67,71.3,67
Ryan Fitzpatrick,2467,QB,HST,3,0,13,60.0,100.0,21,22.3,21,60.0,0,95.9,94,98,60.0,100.0,69,73.4,69
Chad Rinehart,4410,G,SD,3,0,27,46.8,100.0,28,30.1,28,57.5,0,100.0,93,93,57.3,100.0,41,44.1,41
Johnnie Troutman,7651,G,SD,3,0,27,64.3,100.0,28,30.1,28,54.5,0,100.0,93,93,45.9,100.0,41,44.1,41
D.J. Fluker,7792,T,SD,3,0,27,62.3,100.0,28,30.1,28,62.8,0,100.0,93,93,60.0,100.0,41,44.1,41
Nate Solder,6169,T,NE,3,0,19,71.4,100.0,45,48.4,45,63.1,0,100.0,93,93,61.2,100.0,34,36.6,34
Sebastian Vollmer,4981,T,NE,3,0,19,74.2,100.0,45,48.9,45,68.0,0,100.0,92,92,58.2,100.0,33,35.9,33
Chris Chester,3001,G,WAS,3,0,32,56.9,100.0,2,2.2,2,63.7,0,100.0,92,92,66.9,100.0,82,89.1,82
Andre Johnson,1319,WR,HST,3,0,13,60.9,100.0,20,21.7,20,63.9,0,100.0,92,92,64.1,100.0,64,69.6,64
D'Brickashaw Ferguson,2949,T,NYJ,3,0,22,56.7,100.0,28,30.8,28,50.6,0,100.0,91,91,49.0,100.0,55,60.4,55
Kory Lichtensteiger,4422,C,WAS,3,0,32,60.5,100.0,2,2.2,2,67.5,0,100.0,91,91,60.2,100.0,81,89.0,81
Trent Williams,5529,T,WAS,3,0,32,55.4,100.0,2,2.2,2,70.9,2,100.0,91,91,68.0,100.0,82,90.1,82
Nick Mangold,2974,C,NYJ,3,0,22,81.1,100.0,28,30.8,28,77.4,0,100.0,91,91,66.0,100.0,55,60.4,55
Breno Giacomini,4464,T,NYJ,3,0,22,68.3,100.0,28,30.8,28,68.4,0,100.0,91,91,73.6,100.0,55,60.4,55
Keenan Allen,7857,WR,SD,3,0,27,85.7,100.0,28,30.8,28,78.0,0,100.0,91,91,60.3,100.0,40,44.0,40
Willie Colon,3076,G,NYJ,3,0,22,65.3,100.0,28,30.8,28,64.2,2,100.0,91,91,60.2,100.0,55,60.4,55
Joel Bitonio,8670,G,CLV,3,0,8,80.6,100.0,7,7.8,7,70.6,1,100.0,90,90,62.7,100.0,75,83.3,75
Mitchell Schwartz,7041,T,CLV,3,0,8,50.0,100.0,7,7.8,7,67.1,0,100.0,90,90,73.4,100.0,75,83.3,75
Alex Mack,4944,C,CLV,3,0,8,59.8,100.0,7,7.8,7,66.3,0,100.0,90,90,64.9,100.0,75,83.3,75
Andrew Whitworth,3000,T,CIN,3,1,7,93.4,100.0,33,36.7,33,79.5,1,100.0,90,90,60.9,100.0,48,53.3,48
John Greco,4379,G,CLV,3,0,8,63.7,100.0,7,7.8,7,75.4,0,100.0,90,90,76.6,100.0,75,83.3,75
Joe Thomas,3619,T,CLV,3,0,8,61.1,100.0,7,7.8,7,76.0,0,100.0,90,90,70.0,100.0,75,83.3,75
Tyler Polumbus,4581,T,WAS,3,0,32,58.9,100.0,2,2.2,2,58.6,0,100.0,90,90,59.4,100.0,81,90.0,81
Weston Richburg,8678,G,NYG,3,0,21,42.8,100.0,32,36.0,32,55.6,0,100.0,89,89,68.8,100.0,51,57.3,51
J.D. Walton,5604,C,NYG,3,0,21,63.2,100.0,32,36.0,32,62.0,0,100.0,89,89,61.6,100.0,51,57.3,51
Will Beatty,4983,T,NYG,3,0,21,82.2,100.0,32,36.0,32,72.5,0,100.0,89,89,66.3,100.0,51,57.3,51
Brian Winters,7853,G,NYJ,3,0,22,63.3,100.0,27,30.3,27,65.9,0,100.0,89,89,63.4,100.0,54,60.7,54
Jermaine Gresham,5546,TE,CIN,3,0,7,71.5,100.0,33,37.1,33,77.2,0,100.0,89,89,74.7,100.0,47,52.8,47
Justin Pugh,7800,T,NYG,3,0,21,77.9,100.0,32,36.0,32,77.2,1,100.0,89,89,68.1,100.0,51,57.3,51
King Dunlap,4544,T,SD,3,0,27,76.8,100.0,26,29.2,26,78.1,0,100.0,89,89,67.6,100.0,39,43.8,39
John Jerry,5598,G,NYG,3,0,21,56.7,100.0,32,36.0,32,60.9,0,100.0,89,89,63.8,100.0,51,57.3,51
Eli Manning,1722,QB,NYG,3,0,21,60.0,100.0,32,36.4,32,60.0,0,98.9,88,89,60.0,100.0,51,58.0,51
Tom Brady,698,QB,NE,3,0,19,60.0,100.0,45,51.1,45,60.0,0,94.6,88,93,60.0,100.0,34,38.6,34
Eugene Monroe,4931,T,BLT,3,0,3,55.7,100.0,9,10.2,9,53.5,1,100.0,88,88,59.3,100.0,64,72.7,64
Jeremy Zuttah,4397,C,BLT,3,0,3,55.8,100.0,9,10.2,9,71.1,0,100.0,88,88,73.7,100.0,64,72.7,64
Kelechi Osemele,7062,G,BLT,3,0,3,61.5,100.0,9,10.2,9,76.0,0,100.0,88,88,82.7,100.0,64,72.7,64
Rick Wagner,7950,T,BLT,3,0,3,77.5,100.0,9,10.2,9,74.4,0,100.0,88,88,69.7,100.0,64,72.7,64
Marshal Yanda,3702,G,BLT,3,0,3,62.0,100.0,9,10.2,9,85.7,0,100.0,88,88,90.1,100.0,64,72.7,64
Rich Ohrnberger,5047,C,SD,3,0,27,58.8,100.0,28,32.2,28,59.2,1,100.0,87,87,62.4,100.0,35,40.2,35
Marcus Cannon,6290,T,NE,3,0,19,65.9,100.0,38,44.2,38,59.6,2,100.0,86,86,51.0,100.0,34,39.5,34
Philip Rivers,1725,QB,SD,3,0,27,60.0,100.0,28,32.6,28,60.0,0,92.5,86,93,60.0,97.6,40,46.5,41
Ben Grubbs,3645,G,NO,3,0,20,77.1,100.0,19,22.1,19,62.0,1,100.0,86,86,56.7,100.0,55,64.0,55
Terron Armstead,7856,T,NO,3,0,20,62.0,100.0,19,22.1,19,75.4,0,100.0,86,86,74.3,100.0,55,64.0,55
Jahri Evans,3053,G,NO,3,0,20,65.8,100.0,19,22.1,19,74.3,0,100.0,86,86,71.2,100.0,55,64.0,55
Andy Dalton,6187,QB,CIN,3,0,7,60.0,100.0,35,40.7,35,60.0,0,89.6,86,96,60.0,96.1,49,57.0,51
Brian Hoyer,5277,QB,CLV,3,0,8,60.0,100.0,7,8.2,7,60.0,0,97.7,85,87,60.0,100.0,72,84.7,72
Mohamed Sanu,7084,WR,CIN,3,0,7,65.6,100.0,30,35.3,30,63.7,0,98.8,85,86,57.8,98.0,48,56.5,49
Zach Strief,3155,T,NO,3,0,20,61.9,100.0,19,22.4,19,72.1,0,100.0,85,85,72.4,100.0,54,63.5,54
Jordan Devey,8268,T,NE,3,0,19,59.3,100.0,41,48.8,41,58.7,1,100.0,84,84,60.4,100.0,29,34.5,29
Victor Cruz,5827,WR,NYG,3,0,21,72.7,100.0,30,35.7,30,47.3,0,100.0,84,84,57.9,100.0,48,57.1,48
Drew Brees,802,QB,NO,3,0,20,60.0,100.0,19,22.9,19,60.0,0,96.5,83,86,60.0,100.0,55,66.3,55
Dan Connolly,2540,G,NE,3,0,19,63.4,100.0,36,43.4,36,58.2,0,100.0,83,83,55.2,100.0,34,41.0,34
Jake Long,4315,T,SL,3,0,26,61.2,100.0,29,35.4,29,71.7,0,100.0,82,82,70.4,100.0,40,48.8,40
