player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Michael Dickson,35381,P,SEA,17,83,83,4.2,41.7,46.93,7.3,0,0,13,22,29,65.9,43,68,6,0,38.6,234,32,83,348.7,3461,10,3895
A.J. Cole III,36038,P,LV,18,66,66,4.33,42.33,50.02,12.2,0,0,5,17,23,83.3,32,71,7,0,45.5,367,30,66,285.89,2794,7,3301
J.K. Scott,38809,P,JAX,1,4,4,4.74,39.75,39.75,,0,0,0,4,15,56.5,1,47,0,0,0.0,0,0,4,18.97,159,0,159
Corliss Waitman,39620,P,PIT,2,7,7,4.12,42.57,52.14,9.4,0,0,1,0,25,53.3,1,63,0,0,71.4,47,5,7,28.82,298,1,365
Mitch Wishnowsky,44663,P,SF,17,61,61,4.26,40.39,45.0,7.7,0,0,10,17,28,60.6,24,67,7,0,34.4,161,21,61,259.61,2464,6,2745
Braden Mann,44664,P,NYJ,10,41,41,4.33,41.56,45.73,9.4,1,0,9,6,22,57.1,15,63,9,0,39.0,151,16,42,177.5,1704,1,1875
Blake Gillikin,45045,P,NO,17,83,83,4.25,41.99,47.66,9.1,0,0,11,18,20,64.9,32,63,7,0,51.8,391,43,83,352.87,3485,4,3956
Cameron Nizialek,60273,P,PIT,4,18,18,4.09,39.78,45.39,8.7,0,0,3,3,25,53.6,7,62,3,0,38.9,61,7,18,73.59,716,2,817
Pressley Harvin III,62973,P,PIT,16,77,77,4.29,38.27,43.25,10.4,0,0,7,20,25,54.4,32,64,16,0,40.3,323,31,77,330.51,2947,3,3330
Jamie Gillan,63303,P,CLV,12,42,42,4.22,39.52,43.86,8.5,0,0,3,12,8,52.6,16,65,7,0,45.2,162,19,42,177.29,1660,1,1842
Arryn Siposs,82019,P,PHI,17,61,61,4.22,38.85,43.74,8.5,0,0,10,13,24,64.8,19,68,7,0,45.9,238,28,61,257.57,2370,3,2668
